1,85.71,14.285714285714286,0.0
2,87.5,12.5,0.0
3,87.5,12.5,0.0
4,87.5,12.5,0.0
5,87.5,12.5,0.0
6,87.5,12.5,0.0
7,87.5,12.5,0.0
8,80.0,10.0,10.0
9,44.0,4.0,52.0
10,44.44,7.407407407407407,48.148148148148145
11,48.39,6.451612903225806,45.16129032258065
12,50.0,5.882352941176471,44.11764705882353
13,32.5,10.0,57.5
14,32.5,10.0,57.5
15,32.5,10.0,57.5
16,32.5,10.0,57.5
17,32.5,10.0,57.5
18,32.5,10.0,57.5
19,32.5,10.0,57.5
20,32.5,10.0,57.5
21,32.5,10.0,57.5
22,32.5,10.0,57.5
23,32.5,10.0,57.5
24,32.5,10.0,57.5
25,32.5,10.0,57.5
26,30.0,12.5,57.5
27,32.56,11.627906976744185,55.81395348837209
28,32.56,11.627906976744185,55.81395348837209
29,32.56,11.627906976744185,55.81395348837209
30,38.98,8.474576271186441,52.54237288135593
31,38.98,8.474576271186441,52.54237288135593
32,38.33,8.333333333333334,53.333333333333336
33,38.33,8.333333333333334,53.333333333333336
34,38.33,8.333333333333334,53.333333333333336
35,38.33,8.333333333333334,53.333333333333336
36,38.33,8.333333333333334,53.333333333333336
37,40.0,8.333333333333334,51.666666666666664
38,40.0,8.333333333333334,51.666666666666664
39,40.0,8.333333333333334,51.666666666666664
40,40.0,8.333333333333334,51.666666666666664
41,40.0,8.333333333333334,51.666666666666664
42,40.0,8.333333333333334,51.666666666666664
43,37.7,8.19672131147541,54.09836065573771
44,38.1,7.936507936507937,53.96825396825397
45,38.1,7.936507936507937,53.96825396825397
46,38.1,7.936507936507937,53.96825396825397
47,38.1,7.936507936507937,53.96825396825397
48,38.1,7.936507936507937,53.96825396825397
49,38.1,7.936507936507937,53.96825396825397
